name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,time_period,time_span,continent,legs
aardonyx,herbivorous,Early Jurassic 199-189 million years ago,South Africa,sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,Jurassic,10.0,Africa,4
abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Argentina,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,Cretaceous,4.0,South America,2
achelousaurus,herbivorous,Late Cretaceous 83-70 million years ago,USA,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,Cretaceous,13.0,North America,4
achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,Cretaceous,15.0,Asia,2
acrocanthosaurus,carnivorous,Early Cretaceous 115-105 million years ago,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,Cretaceous,10.0,North America,2
aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Egypt,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,Cretaceous,5.0,Africa,4
afrovenator,carnivorous,Early Cretaceous 132-121 million years ago,Niger,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,Cretaceous,11.0,Africa,2
agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,China,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,Jurassic,10.0,Asia,2
alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,Cretaceous,5.0,North America,4
albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,7.0,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,Cretaceous,5.0,North America,4
albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,Cretaceous,2.0,North America,2
alectrosaurus,carnivorous,Late Cretaceous 90-70 million years ago,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,Cretaceous,20.0,Asia,2
alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,Cretaceous,6.0,Asia,2
allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,Jurassic,12.0,North America,2
alvarezsaurus,carnivorous,Late Cretaceous 89-85 million years ago,Argentina,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,Cretaceous,4.0,South America,2
amargasaurus,herbivorous,Early Cretaceous 132-127 million years ago,Argentina,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,Cretaceous,5.0,South America,4
ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,USA,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,Jurassic,15.0,North America,4
ampelosaurus,herbivorous,Late Cretaceous 71-65 million years ago,France,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Le Loeuff (1995),atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,Cretaceous,6.0,Europe,4
amygdalodon,herbivorous,Mid Jurassic 177-169 million years ago,Argentina,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,Jurassic,8.0,South America,4
anchiceratops,herbivorous,Late Cretaceous 74-70 million years ago,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,Cretaceous,4.0,North America,4
ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,Cretaceous,7.0,North America,2
anserimimus,carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,Cretaceous,19.0,Asia,2
antarctosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Uruguay,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,von Huene (1929),wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,Cretaceous,19.0,South America,4
apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,Jurassic,9.0,North America,4
aragosaurus,herbivorous,Early Cretaceous 132-121 million years ago,Spain,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Sanz Buscalioni Casanovas and Sanafé (1987),ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,Cretaceous,11.0,Europe,4
aralosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,euornithopod,8.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,Cretaceous,10.0,Asia,2
archaeoceratops,herbivorous,Early Cretaceous 121-99 million years ago,China,ceratopsian,1.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,Cretaceous,22.0,Asia,4
archaeornithomimus,carnivorous,Late Cretaceous 95-70 million years ago,Uzbekistan,small theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Russell (1972),asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,Cretaceous,25.0,Asia,2
arrhinoceratops,herbivorous,Late Cretaceous 72-67 million years ago,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,Cretaceous,5.0,North America,4
atlascopcosaurus,herbivorous,Early Cretaceous 121-97 million years ago,Australia,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,Cretaceous,24.0,Australia,2
aucasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Argentina,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,Cretaceous,13.0,South America,2
austrosaurus,herbivorous,Early Cretaceous 112-99 million years ago,Australia,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Longman (1933),mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html,Cretaceous,13.0,Australia,4
avaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,2.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,Cretaceous,5.0,North America,4
avimimus,omnivorous,Late Cretaceous 80-75 million years ago,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,Cretaceous,5.0,Asia,2
bactrosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,Cretaceous,13.0,Asia,2
bagaceratops,herbivorous,Late Cretaceous 85-80 million years ago,Mongolia,ceratopsian,1.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,Cretaceous,5.0,Asia,4
bambiraptor,carnivorous,Late Cretaceous 84-71 million years ago,USA,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,Cretaceous,13.0,North America,2
barapasaurus,herbivorous,Early Jurassic 185-170 million years ago,India,sauropod,14.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Jain Kutty Roy-Chowdhury and Chatterjee (1975),tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html,Jurassic,15.0,Asia,4
barosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,sauropod,24.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html,Jurassic,10.0,North America,4
becklespinax,carnivorous,Early Cretaceous 142-132 million years ago,United Kingdom,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Paul (1988),altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html,Cretaceous,10.0,Europe,2
beipiaosaurus,omnivorous,Early Cretaceous 127-121 million years ago,China,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,Cretaceous,6.0,Asia,2
bellusaurus,herbivorous,Mid Jurassic 180-159 million years ago,China,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Dong and Azuma (1990),sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html,Jurassic,21.0,Asia,4
borogovia,carnivorous,Late Cretaceous 84-65 million years ago,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,Cretaceous,19.0,Asia,2
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,Jurassic,15.0,North America,4
brachylophosaurus,herbivorous,Late Cretaceous 89-88 million years ago,USA,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,Cretaceous,1.0,North America,2
buitreraptor,carnivorous,Late Cretaceous 99-90 million years ago,Argentina,small theropod,1.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,Cretaceous,9.0,South America,2
camarasaurus,herbivorous,Late Jurassic 150-140 million years ago,USA,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Cope (1877),supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,Jurassic,10.0,North America,4
camptosaurus,herbivorous,Late Jurassic 155-145 million years ago,USA,euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,Jurassic,10.0,North America,2
carcharodontosaurus,carnivorous,Late Cretaceous 98-94 million years ago,North Africa,large theropod,15.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,Cretaceous,4.0,Africa,2
caudipteryx,omnivorous,Early Cretaceous 125-122 million years ago,China,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,Ji Currie Norell and Ji. (1998),zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,Cretaceous,3.0,Asia,2
cedarpelta,herbivorous,Early Cretaceous 142-127 million years ago,USA,armoured dinosaur,10.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Carpenter Kirkland Burge and Bird (2001),bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,Cretaceous,15.0,North America,2
ceratosaurus,carnivorous,Late Jurassic 153-148 million years ago,USA,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,Jurassic,5.0,North America,2
cetiosauriscus,herbivorous,Mid Jurassic 175-160 million years ago,United Kingdom,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,von Huene (1927),stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html,Jurassic,15.0,Europe,4
cetiosaurus,herbivorous,Mid Jurassic 170-160 million years ago,United Kingdom,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Phillips (1871),oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html,Jurassic,10.0,Europe,4
chaoyangsaurus,herbivorous,Late Jurassic 152-145 million years ago,China,ceratopsian,1.1,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Zhao Cheng and Xu (1999),youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,Jurassic,7.0,Asia,4
chindesaurus,carnivorous,Late Triassic 227-210 million years ago,USA,small theropod,4.0,Dinosauria Saurischia Theropoda Herrerasauridae,Long and Murry (1995),bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,Triassic,17.0,North America,2
chinshakiangosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,sauropod,11.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yeh (1975),zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html,Jurassic,17.0,Asia,4
chirostenotes,omnivorous,Late Jurassic 79-67 million years ago,Canada,small theropod,1.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,Jurassic,12.0,North America,2
chubutisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Argentina,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Corro (1974),insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html,Cretaceous,13.0,South America,4
chungkingosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Zhou and Zhang (1983),jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,Jurassic,17.0,Asia,2
citipati,omnivorous,Late Cretaceous 81-75 million years ago,Mongolia,small theropod,2.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Clark Norell and Barsbold (2001),osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,Cretaceous,6.0,Asia,2
coelurus,carnivorous,Late Jurassic 155-145 million years ago,USA,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Marsh (1879),fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html,Jurassic,10.0,North America,2
coloradisaurus,omnivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,4.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte (1978),brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html,Triassic,11.0,South America,4
compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,Jurassic,5.0,Europe,2
conchoraptor,carnivorous,Late Cretaceous 81-76 million years ago,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html,Cretaceous,5.0,Asia,2
confuciusornis,carnivorous,Early Cretaceous 127-121 million years ago,China,small theropod,0.25,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Hou Zhou Gu and Zhang (1995),sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html,Cretaceous,6.0,Asia,2
corythosaurus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,10.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,Cretaceous,2.0,North America,2
dacentrurus,herbivorous,Late Jurassic 154-150 million years ago,United Kingdom,armoured dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,Lucas (1902),armatus,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html,Jurassic,4.0,Europe,2
daspletosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html,Cretaceous,2.0,North America,2
deinocheirus,omnivorous,Late Cretaceous 70-66 million years ago,Mongolia,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Osmólska and Roniewicz (1970),mirificus,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html,Cretaceous,4.0,Asia,2
deinonychus,carnivorous,Early Cretaceous 120-110 million years ago,USA,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrom (1969),antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,Cretaceous,10.0,North America,2
deltadromeus,carnivorous,Late Cretaceous 99-94 million years ago,Morocco,large theropod,8.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson (1996),agilis,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html,Cretaceous,5.0,Africa,2
dicraeosaurus,herbivorous,Late Jurassic 150-135 million years ago,Tanzania,sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Janensch (1914),hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html,Jurassic,15.0,Africa,4
diplodocus,herbivorous,Late Jurassic 155-145 million years ago,USA,sauropod,26.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1878),longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html,Jurassic,10.0,North America,4
dromaeosaurus,carnivorous,Late Cretaceous 76-74 million years ago,USA,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,Cretaceous,2.0,North America,2
dromiceiomimus,omnivorous,Late Cretaceous 74-70 million years ago,Canada,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Parks (1926),brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html,Cretaceous,4.0,North America,2
dryosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,euornithopod,4.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html,Jurassic,15.0,North America,2
dryptosaurus,carnivorous,Late Cretaceous 84-65 million years ago,USA,large theropod,6.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html,Cretaceous,19.0,North America,2
edmontonia,herbivorous,Late Cretaceous 76-74 million years ago,Canada,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html,Cretaceous,2.0,North America,2
edmontosaurus,herbivorous,Late Cretaceous 76-65 million years ago,Canada,euornithopod,13.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,Cretaceous,11.0,North America,2
